state,x,y
Alabama,115.0,-82.0
Alaska,-228.0,-136.0
Arizona,-181.0,-51.0
Arkansas,45.0,-57.0
California,-256.0,6.0
Colorado,-100.0,5.0
Connecticut,251.0,68.0
Delaware,231.0,23.0
Florida,188.0,-142.0
Georgia,148.0,-78.0
Hawaii,-88.0,-181.0
Idaho,-185.0,87.0
Illinois,79.0,20.0
Indiana,111.0,21.0
Iowa,31.0,45.0
Kansas,-23.0,-5.0
Kentucky,129.0,-12.0
Louisiana,49.0,-117.0
Maine,270.0,128.0
Maryland,211.0,26.0
Massachusetts,252.0,80.0
Michigan,123.0,71.0
Minnesota,20.0,107.0
Mississippi,81.0,-84.0
Missouri,46.0,-9.0
Montana,-125.0,123.0
Nebraska,-36.0,38.0
Nevada,-214.0,30.0
New Hampshire,254.0,99.0
New Jersey,237.0,42.0
New Mexico,-113.0,-52.0
New York,214.0,85.0
North Carolina,202.0,-31.0
North Dakota,-35.0,124.0
Ohio,147.0,29.0
Oklahoma,-8.0,-47.0
Oregon,-243.0,103.0
Pennsylvania,199.0,49.0
Rhode Island,262.0,73.0
South Carolina,184.0,-59.0
South Dakota,-37.0,79.0
Tennessee,110.0,-38.0
Texas,-31.0,-110.0
Utah,-163.0,19.0
Vermont,241.0,102.0
Virginia,201.0,-2.0
Washington,-226.0,148.0
West Virginia,169.0,7.0
Wisconsin,70.0,81.0
Wyoming,-113.0,65.0